row_type,db,K,policy_ids,baseline,query_id,setup_ms,disk_overhead_bytes,cold_ms,cold_peak_rss_kb,hot1_ms,hot1_peak_rss_kb,hot2_ms,hot2_peak_rss_kb,hot3_ms,hot3_peak_rss_kb,hot4_ms,hot4_peak_rss_kb,hot5_ms,hot5_peak_rss_kb,hot_avg_ms,hot_avg_peak_rss_kb,status,error_type,error_msg
setup,tpch0_1,1,1,ours,__setup__,919.878,4726784,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,1,1,rls_with_index,__setup__,284.565,8372224,,,,,,,,,,,,,,,ok,,
query,tpch0_1,1,1,ours,1,,,302.882,157308,271.843,161028,272.488,161628,272.414,161672,272.194,161672,272.087,161228,272.205,161445,ok,,
query,tpch0_1,1,1,rls_with_index,1,,,181.383,107368,181.581,117448,180.989,117448,181.653,117448,181.618,117448,181.556,117448,181.480,117448,ok,,
query,tpch0_1,1,1,ours,2,,,211.801,52040,211.773,52936,211.834,52936,211.903,52936,211.804,52936,211.780,52936,211.819,52936,ok,,
query,tpch0_1,1,1,rls_with_index,2,,,242.155,88104,212.116,88328,211.815,88328,212.047,88328,211.775,88328,211.493,88328,211.849,88328,ok,,
query,tpch0_1,1,1,ours,3,,,90.919,164108,60.793,188516,60.719,188964,60.723,189036,60.488,189044,60.635,189084,60.672,188928,ok,,
query,tpch0_1,1,1,rls_with_index,3,,,60.630,139400,60.472,145604,60.655,145436,60.704,145436,60.515,145248,30.418,144352,54.553,145215,ok,,
query,tpch0_1,1,1,ours,4,,,30.300,25160,30.230,147016,30.466,147240,30.468,147240,30.425,147240,30.326,147240,30.383,147195,ok,,
query,tpch0_1,1,1,rls_with_index,4,,,30.416,18664,30.434,140968,30.539,140968,30.380,140968,30.659,140968,30.682,140968,30.539,140968,ok,,
query,tpch0_1,1,1,ours,5,,,91.019,171672,60.520,184924,60.704,185028,60.710,185064,60.677,185084,60.296,185092,60.581,185038,ok,,
query,tpch0_1,1,1,rls_with_index,5,,,30.127,18216,30.255,141864,30.292,141864,30.329,141864,30.275,141864,30.363,141864,30.303,141864,ok,,
