[policy_set] K=1 enabled_ids=[1]
[setup_ours] K=1 setup_ms=927.769 disk=12011528
[index_infer] K=1 specs=['lineitem.l_linestatus', 'lineitem.l_returnflag']
[setup_rls] K=1 setup_ms=286.844 disk=8372224 indexes=['cf_rls_k1_lineitem_l_linestatus_1', 'cf_rls_k1_lineitem_l_returnflag_2']
[correctness_sample] K=1 queries=['4', '18', '21']
[progress] K=1 baseline=ours query=1
[progress] K=1 baseline=rls_with_index query=1
[progress] K=1 baseline=ours query=2
[progress] K=1 baseline=rls_with_index query=2
[progress] K=1 baseline=ours query=3
[progress] K=1 baseline=rls_with_index query=3
[progress] K=1 baseline=ours query=4
[progress] K=1 baseline=rls_with_index query=4
[progress] K=1 baseline=ours query=5
[progress] K=1 baseline=rls_with_index query=5
[progress] K=1 baseline=ours query=6
[progress] K=1 baseline=rls_with_index query=6
[progress] K=1 baseline=ours query=7
[progress] K=1 baseline=rls_with_index query=7
[progress] K=1 baseline=ours query=8
[progress] K=1 baseline=rls_with_index query=8
[progress] K=1 baseline=ours query=9
[progress] K=1 baseline=rls_with_index query=9
[progress] K=1 baseline=ours query=10
[progress] K=1 baseline=rls_with_index query=10
[progress] K=1 baseline=ours query=11
[progress] K=1 baseline=rls_with_index query=11
[progress] K=1 baseline=ours query=12
[progress] K=1 baseline=rls_with_index query=12
[progress] K=1 baseline=ours query=13
[progress] K=1 baseline=rls_with_index query=13
[progress] K=1 baseline=ours query=14
[progress] K=1 baseline=rls_with_index query=14
[progress] K=1 baseline=ours query=15
[progress] K=1 baseline=rls_with_index query=15
[progress] K=1 baseline=ours query=16
[progress] K=1 baseline=rls_with_index query=16
[progress] K=1 baseline=ours query=17
[progress] K=1 baseline=rls_with_index query=17
[progress] K=1 baseline=ours query=18
[progress] K=1 baseline=rls_with_index query=18
[progress] K=1 baseline=ours query=19
[progress] K=1 baseline=rls_with_index query=19
[progress] K=1 baseline=ours query=20
