row_type,db,K,policy_ids,baseline,query_id,setup_ms,disk_overhead_bytes,cold_ms,cold_peak_rss_kb,hot1_ms,hot1_peak_rss_kb,hot2_ms,hot2_peak_rss_kb,hot3_ms,hot3_peak_rss_kb,hot4_ms,hot4_peak_rss_kb,hot5_ms,hot5_peak_rss_kb,hot_avg_ms,hot_avg_peak_rss_kb,status,error_type,error_msg
setup,tpch0_1,1,1,ours,__setup__,927.769,12011528,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,1,1,rls_with_index,__setup__,286.844,8372224,,,,,,,,,,,,,,,ok,,
query,tpch0_1,1,1,ours,1,,,302.750,165008,272.312,166924,272.226,167252,272.398,167504,272.405,167548,272.339,167776,272.336,167400,ok,,
query,tpch0_1,1,1,rls_with_index,1,,,181.716,116776,181.636,126856,181.606,126856,181.502,126856,181.063,126856,181.659,126856,181.493,126856,ok,,
query,tpch0_1,1,1,ours,2,,,211.905,51816,211.635,52264,211.794,52264,211.712,52264,211.784,52264,211.786,52264,211.742,52264,ok,,
query,tpch0_1,1,1,rls_with_index,2,,,242.177,54056,211.835,54504,211.994,54504,211.820,54504,211.860,54504,211.909,54504,211.884,54504,ok,,
query,tpch0_1,1,1,ours,3,,,90.792,153364,60.633,178868,60.519,179092,60.688,179164,60.703,179172,60.713,179212,60.651,179101,ok,,
query,tpch0_1,1,1,rls_with_index,3,,,60.598,129768,60.552,138880,60.693,138744,60.708,138744,30.383,137904,30.409,137904,48.549,138435,ok,,
query,tpch0_1,1,1,ours,4,,,30.284,25384,30.395,138280,30.427,138504,30.332,138504,30.291,138504,30.434,138504,30.376,138459,ok,,
query,tpch0_1,1,1,rls_with_index,4,,,30.287,18888,30.333,133128,30.316,133128,30.254,133128,30.327,133128,30.436,133128,30.333,133128,ok,,
query,tpch0_1,1,1,ours,5,,,90.889,157676,60.710,179440,60.764,179544,60.702,179580,60.617,179600,60.661,179608,60.690,179554,ok,,
query,tpch0_1,1,1,rls_with_index,5,,,30.301,18664,30.318,138728,30.461,138952,30.260,138952,30.286,138952,30.341,138952,30.333,138907,ok,,
query,tpch0_1,1,1,ours,6,,,90.820,139592,60.523,159652,60.544,160420,60.490,160476,60.521,160476,60.578,160040,60.531,160212,ok,,
query,tpch0_1,1,1,rls_with_index,6,,,60.407,97064,60.242,120136,60.538,120360,60.629,120584,60.556,120808,60.551,120808,60.503,120539,ok,,
query,tpch0_1,1,1,ours,7,,,90.763,180380,60.568,186156,60.835,186204,60.463,186236,60.664,186272,60.506,186292,60.607,186232,ok,,
query,tpch0_1,1,1,rls_with_index,7,,,60.625,144328,60.713,145224,30.297,145224,30.343,145224,30.263,145224,30.303,145224,36.384,145224,ok,,
query,tpch0_1,1,1,ours,8,,,90.817,184948,60.539,190196,60.483,190280,60.610,190300,60.546,190316,60.567,190320,60.549,190282,ok,,
query,tpch0_1,1,1,rls_with_index,8,,,60.570,147688,30.305,147832,30.293,148056,30.291,148056,30.272,148056,30.192,148056,30.271,148011,ok,,
query,tpch0_1,1,1,ours,9,,,211.411,191144,181.393,194880,181.079,195128,181.245,195220,181.294,195220,181.537,195408,181.310,195171,ok,,
query,tpch0_1,1,1,rls_with_index,9,,,90.949,142536,90.940,153260,90.820,153228,90.710,153232,90.867,153236,90.893,153240,90.846,153239,ok,,
query,tpch0_1,1,1,ours,10,,,121.093,184764,90.728,188348,90.837,189084,90.880,191332,90.804,192452,90.879,192456,90.826,190734,ok,,
query,tpch0_1,1,1,rls_with_index,10,,,60.326,117448,60.602,150452,60.572,149684,60.560,150356,60.479,150140,60.550,150368,60.552,150200,ok,,
query,tpch0_1,1,1,ours,11,,,30.448,24264,30.332,42952,30.543,46844,30.266,46856,30.655,46864,30.609,46868,30.481,46076,ok,,
query,tpch0_1,1,1,rls_with_index,11,,,30.376,17544,30.303,50660,30.429,50532,30.323,50544,30.422,50544,30.346,50548,30.365,50565,ok,,
query,tpch0_1,1,1,ours,12,,,121.419,151828,90.974,178492,90.691,178716,90.938,179084,90.834,179084,91.032,179100,90.894,178895,ok,,
query,tpch0_1,1,1,rls_with_index,12,,,90.715,125288,91.052,138028,60.783,138252,60.622,138252,60.680,138252,60.762,138476,66.780,138252,ok,,
query,tpch0_1,1,1,ours,13,,,60.577,54952,60.501,63388,60.513,63372,60.502,63228,60.453,63232,60.587,63232,60.511,63290,ok,,
query,tpch0_1,1,1,rls_with_index,13,,,60.539,49352,60.545,57272,60.447,57164,60.804,57164,60.552,57168,60.717,57168,60.613,57187,ok,,
query,tpch0_1,1,1,ours,14,,,90.955,114936,60.528,162444,60.552,162472,60.693,162504,60.754,162556,60.676,162556,60.641,162506,ok,,
query,tpch0_1,1,1,rls_with_index,14,,,60.556,107368,60.650,121256,60.562,121280,60.667,121280,60.517,121280,60.584,121728,60.596,121364,ok,,
query,tpch0_1,1,1,ours,15,,,91.048,128480,60.323,161120,60.595,161592,60.568,161816,60.477,161944,60.636,162176,60.520,161729,ok,,
query,tpch0_1,1,1,rls_with_index,15,,,60.565,110728,60.627,121928,60.759,122152,60.721,122600,60.870,122824,60.727,123048,60.741,122510,ok,,
query,tpch0_1,1,1,ours,16,,,30.378,24488,30.296,47236,30.380,47208,30.254,47212,30.530,47220,30.449,47220,30.382,47219,ok,,
query,tpch0_1,1,1,rls_with_index,16,,,60.417,47336,30.132,49288,60.334,50368,30.231,49028,30.240,49036,30.148,49040,36.217,49352,ok,,
query,tpch0_1,1,1,ours,17,,,4023.780,231708,3902.696,233388,3898.383,233988,3897.617,233988,3898.433,234364,3897.489,235000,3898.924,234145,ok,,
query,tpch0_1,1,1,rls_with_index,17,,,4957.659,195964,4835.736,197056,4924.330,197908,4807.959,198328,4804.164,198960,4778.104,199628,4830.059,198376,ok,,
query,tpch0_1,1,1,ours,18,,,181.920,227156,151.364,227980,151.296,228372,151.286,228372,151.178,228156,151.124,228004,151.250,228176,ok,,
query,tpch0_1,1,1,rls_with_index,18,,,91.035,108712,90.824,132048,90.776,132164,90.851,132168,90.895,132172,90.927,132176,90.854,132145,ok,,
query,tpch0_1,1,1,ours,19,,,121.124,164788,91.066,166700,90.825,166788,90.896,166840,90.997,166864,90.825,166876,90.922,166813,ok,,
query,tpch0_1,1,1,rls_with_index,19,,,8992.969,126796,8933.211,127372,8902.334,127196,8977.740,127196,8933.368,127196,8939.195,127020,8937.170,127196,ok,,
