db,baseline,query_id,policy_set_name,policy_ids,num_policies,query_complexity,policy_complexity,cold_ms,hot_ms,correctness,mem_overhead_kb,status,error_type,error_msg,pre_run_memory_building_ms
tpch1,rls_index,1,1-5,"1,2,3,4,5",5,4,30,1898.775,1777.519,TRUE,,1,,,49636.774
tpch1,rls_index,3,1-5,"1,2,3,4,5",5,8,0,1536.779,1416.187,TRUE,,1,,,49636.774
tpch1,rls_index,6,1-5,"1,2,3,4,5",5,6,30,783.785,693.241,TRUE,,1,,,49636.774
tpch1,rls_index,13,1-5,"1,2,3,4,5",5,6,0,1084.914,1024.401,TRUE,,1,,,49636.774
tpch1,rls_index,22,1-5,"1,2,3,4,5",5,9,0,331.798,331.874,TRUE,,1,,,49636.774
tpch1,sieve,1,1-5,"1,2,3,4,5",5,4,30,30.733,,UNKNOWN,,0,db_error,"ERROR:  missing FROM-clause entry for table ""orders"" LINE 1: ...STS (SELECT 1 FROM customer c WHERE c.c_custkey = orders.o_c...                                                              ^",0.000
tpch1,sieve,3,1-5,"1,2,3,4,5",5,8,0,90.877,60.645,FALSE,,1,mismatch,rows/hash mismatch vs rls_index,0.000
tpch1,sieve,6,1-5,"1,2,3,4,5",5,6,30,30.684,,UNKNOWN,,0,db_error,"ERROR:  missing FROM-clause entry for table ""orders"" LINE 1: ...STS (SELECT 1 FROM customer c WHERE c.c_custkey = orders.o_c...                                                              ^",0.000
tpch1,sieve,13,1-5,"1,2,3,4,5",5,6,0,693.386,693.056,FALSE,,1,mismatch,rows/hash mismatch vs rls_index,0.000
tpch1,sieve,22,1-5,"1,2,3,4,5",5,9,0,30.706,,UNKNOWN,,0,db_error,"ERROR:  missing FROM-clause entry for table ""orders"" LINE 1: ...STS (SELECT 1 FROM customer c WHERE c.c_custkey = orders.o_c...                                                              ^",0.000
tpch1,sieve_index,1,1-5,"1,2,3,4,5",5,4,30,30.709,,UNKNOWN,,0,db_error,"ERROR:  missing FROM-clause entry for table ""orders"" LINE 1: ...STS (SELECT 1 FROM customer c WHERE c.c_custkey = orders.o_c...                                                              ^",49510.337
tpch1,sieve_index,3,1-5,"1,2,3,4,5",5,8,0,91.060,60.654,FALSE,,1,mismatch,rows/hash mismatch vs rls_index,49510.337
