db,baseline,query_id,policy_set_name,policy_ids,num_policies,query_complexity,policy_complexity,cold_ms,hot_ms,correctness,baseline_rows,rls_index_rows,mem_overhead_kb,status,error_type,error_msg,pre_run_memory_building_ms
postgres,rls_index,1,S_A,"1,2,3,4,5",5,4,30,30.802,31.307,TRUE,0,0,,1,,,24.233
postgres,rls_index,3,S_A,"1,2,3,4,5",5,8,0,30.534,31.470,TRUE,0,0,,1,,,24.233
postgres,rls_index,6,S_A,"1,2,3,4,5",5,6,30,31.361,31.302,TRUE,1,1,,1,,,24.233
postgres,rls_index,11,S_A,"1,2,3,4,5",5,9,0,31.136,31.552,TRUE,0,0,,1,,,24.233
postgres,rls_index,22,S_A,"1,2,3,4,5",5,9,0,31.106,31.514,TRUE,0,0,,1,,,24.233
postgres,sieve_index,1,S_A,"1,2,3,4,5",5,4,30,31.268,31.262,TRUE,0,0,,1,,,35.650
postgres,sieve_index,3,S_A,"1,2,3,4,5",5,8,0,31.076,31.237,TRUE,0,0,,1,,,35.650
postgres,sieve_index,6,S_A,"1,2,3,4,5",5,6,30,31.009,31.649,TRUE,1,1,,1,,,35.650
postgres,sieve_index,11,S_A,"1,2,3,4,5",5,9,0,30.568,31.457,TRUE,0,0,,1,,,35.650
postgres,sieve_index,22,S_A,"1,2,3,4,5",5,9,0,30.776,31.549,TRUE,0,0,,1,,,35.650
