db,baseline,query_id,policy_set_name,policy_ids,num_policies,query_complexity,policy_complexity,cold_ms,hot_ms,correctness,mem_overhead_kb,status,error_type,error_msg,pre_run_memory_building_ms
tpch0_1,rls_index,1,1-5,"1,2,3,4,5",5,4,30,151.680,121.073,TRUE,,1,,,4278.174
tpch0_1,rls_index,3,1-5,"1,2,3,4,5",5,8,0,90.910,60.567,TRUE,,1,,,4278.174
tpch0_1,rls_index,6,1-5,"1,2,3,4,5",5,6,30,60.729,60.654,TRUE,,1,,,4278.174
tpch0_1,sieve_index,1,1-5,"1,2,3,4,5",5,4,30,121.231,120.744,TRUE,,1,,,4255.880
tpch0_1,sieve_index,3,1-5,"1,2,3,4,5",5,8,0,90.870,60.689,TRUE,,1,,,4255.880
tpch0_1,sieve_index,6,1-5,"1,2,3,4,5",5,6,30,60.798,60.550,TRUE,,1,,,4255.880
tpch0_1,rls_index,1,11-20,"11,12,13,14,15,16,17,18,19,20",10,4,55,4759.730,4668.704,TRUE,,1,,,3969.062
tpch0_1,rls_index,3,11-20,"11,12,13,14,15,16,17,18,19,20",10,8,58,2199.508,2108.721,TRUE,,1,,,3969.062
tpch0_1,rls_index,6,11-20,"11,12,13,14,15,16,17,18,19,20",10,6,55,3434.354,3373.656,TRUE,,1,,,3969.062
tpch0_1,sieve_index,1,11-20,"11,12,13,14,15,16,17,18,19,20",10,4,55,10361.597,10240.819,FALSE,,1,mismatch,rows/hash mismatch vs rls_index,3969.015
tpch0_1,sieve_index,3,11-20,"11,12,13,14,15,16,17,18,19,20",10,8,58,10542.289,10481.516,TRUE,,1,,,3969.015
tpch0_1,sieve_index,6,11-20,"11,12,13,14,15,16,17,18,19,20",10,6,55,10090.553,9999.610,FALSE,,1,mismatch,rows/hash mismatch vs rls_index,3969.015
tpch0_1,rls_index,1,21-30,"21,22,23,24,25,26,27,28,29,30",10,4,13,1898.394,1807.537,TRUE,,1,,,4943.775
tpch0_1,rls_index,3,21-30,"21,22,23,24,25,26,27,28,29,30",10,8,8,30.990,30.731,TRUE,,1,,,4943.775
tpch0_1,rls_index,6,21-30,"21,22,23,24,25,26,27,28,29,30",10,6,13,1386.088,1295.533,TRUE,,1,,,4943.775
tpch0_1,sieve_index,1,21-30,"21,22,23,24,25,26,27,28,29,30",10,4,13,904.414,813.780,FALSE,,1,mismatch,rows/hash mismatch vs rls_index,4934.406
tpch0_1,sieve_index,3,21-30,"21,22,23,24,25,26,27,28,29,30",10,8,8,30.949,30.534,TRUE,,1,,,4934.406
tpch0_1,sieve_index,6,21-30,"21,22,23,24,25,26,27,28,29,30",10,6,13,482.387,391.942,FALSE,,1,mismatch,rows/hash mismatch vs rls_index,4934.406
