db,baseline,query_id,policy_set_name,policy_ids,num_policies,query_complexity,policy_complexity,cold_ms,hot_ms,correctness,mem_overhead_kb,status,error_type,error_msg,pre_run_memory_building_ms
tpch0_1,rls_index,1,1-5,"1,2,3,4,5",5,4,30,121.539,121.128,TRUE,,1,,,4267.962
tpch0_1,rls_index,3,1-5,"1,2,3,4,5",5,8,0,90.988,60.775,TRUE,,1,,,4267.962
tpch0_1,rls_index,6,1-5,"1,2,3,4,5",5,6,30,60.792,60.558,TRUE,,1,,,4267.962
tpch0_1,sieve_index,1,1-5,"1,2,3,4,5",5,4,30,121.332,120.982,TRUE,,1,,,4260.933
tpch0_1,sieve_index,3,1-5,"1,2,3,4,5",5,8,0,90.890,60.578,TRUE,,1,,,4260.933
tpch0_1,sieve_index,6,1-5,"1,2,3,4,5",5,6,30,60.834,60.542,TRUE,,1,,,4260.933
tpch0_1,rls_index,1,11-20,"11,12,13,14,15,16,17,18,19,20",10,4,55,4760.001,4668.867,TRUE,,1,,,3983.807
tpch0_1,rls_index,3,11-20,"11,12,13,14,15,16,17,18,19,20",10,8,58,2169.451,2108.760,TRUE,,1,,,3983.807
tpch0_1,rls_index,6,11-20,"11,12,13,14,15,16,17,18,19,20",10,6,55,3434.250,3373.725,TRUE,,1,,,3983.807
tpch0_1,sieve_index,1,11-20,"11,12,13,14,15,16,17,18,19,20",10,4,55,,,UNKNOWN,,0,setup_error,"ERROR:  missing FROM-clause entry for table ""orders"" LINE 1: ...T 1 FROM cf_sv_orders WHERE lineitem.l_orderkey = orders.o_o...                                                              ^",0.000
tpch0_1,sieve_index,3,11-20,"11,12,13,14,15,16,17,18,19,20",10,8,58,,,UNKNOWN,,0,setup_error,"ERROR:  missing FROM-clause entry for table ""orders"" LINE 1: ...T 1 FROM cf_sv_orders WHERE lineitem.l_orderkey = orders.o_o...                                                              ^",0.000
tpch0_1,sieve_index,6,11-20,"11,12,13,14,15,16,17,18,19,20",10,6,55,,,UNKNOWN,,0,setup_error,"ERROR:  missing FROM-clause entry for table ""orders"" LINE 1: ...T 1 FROM cf_sv_orders WHERE lineitem.l_orderkey = orders.o_o...                                                              ^",0.000
tpch0_1,rls_index,1,21-30,"21,22,23,24,25,26,27,28,29,30",10,4,13,1898.447,1807.583,TRUE,,1,,,4911.456
tpch0_1,rls_index,3,21-30,"21,22,23,24,25,26,27,28,29,30",10,8,8,31.222,30.421,TRUE,,1,,,4911.456
tpch0_1,rls_index,6,21-30,"21,22,23,24,25,26,27,28,29,30",10,6,13,1385.918,1295.605,TRUE,,1,,,4911.456
tpch0_1,sieve_index,1,21-30,"21,22,23,24,25,26,27,28,29,30",10,4,13,,,UNKNOWN,,0,setup_error,"ERROR:  missing FROM-clause entry for table ""orders"" LINE 1: ...T 1 FROM cf_sv_orders WHERE lineitem.l_orderkey = orders.o_o...                                                              ^",0.000
tpch0_1,sieve_index,3,21-30,"21,22,23,24,25,26,27,28,29,30",10,8,8,,,UNKNOWN,,0,setup_error,"ERROR:  missing FROM-clause entry for table ""orders"" LINE 1: ...T 1 FROM cf_sv_orders WHERE lineitem.l_orderkey = orders.o_o...                                                              ^",0.000
tpch0_1,sieve_index,6,21-30,"21,22,23,24,25,26,27,28,29,30",10,6,13,,,UNKNOWN,,0,setup_error,"ERROR:  missing FROM-clause entry for table ""orders"" LINE 1: ...T 1 FROM cf_sv_orders WHERE lineitem.l_orderkey = orders.o_o...                                                              ^",0.000
