dataset,case,category,policy_file,policy_ids,num_policies,query_id,baseline,result_rows,result_hash,ours_rows,ours_hash,gt_rows,gt_hash,status,mismatch_note
tpch0_1,single_table_lineitem,single_table_policy_single_table_query,policy.txt,1,1,1,ours_vs_rls_with_index,3,53594e9ff9db6a8970613daf94e3b1ec,3,53594e9ff9db6a8970613daf94e3b1ec,3,53594e9ff9db6a8970613daf94e3b1ec,PASS,
tpch0_1,cross_table_policy_query_subset,cross_table_policy_query_subset_tables,policy.txt,11,1,4,ours_vs_rls_with_index,5,9d0c6739031ebb6049e405336540854b,5,9d0c6739031ebb6049e405336540854b,5,9d0c6739031ebb6049e405336540854b,PASS,
tpch0_1,or_of_conjunctions_path,or_of_conjunctions,policy.txt,11,1,3,ours_vs_rls_with_index,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,PASS,
tpch0_1,witness_chain_lineitem_orders_customer,cross_table_witness_multi_constraint,logs/stage2_chain_policy.txt,custom,1,3,ours_vs_rls_with_index,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,PASS,
tpch0_1,join_column_literal_domain_dict,join_column_const_uses_domain_dict,logs/stage2_joincol_policy.txt,custom,1,4,ours_vs_rls_with_index,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,PASS,
tpch1,single_table_lineitem,single_table_policy_single_table_query,policy.txt,1,1,1,ours_vs_rls_with_index,3,734fbc0d832cca9145f1130f7ba6d4d6,3,734fbc0d832cca9145f1130f7ba6d4d6,3,734fbc0d832cca9145f1130f7ba6d4d6,PASS,
tpch1,cross_table_policy_query_subset,cross_table_policy_query_subset_tables,policy.txt,11,1,4,ours_vs_rls_with_index,5,c4a6489a7ab8a5d12a8b6df9652ac577,5,c4a6489a7ab8a5d12a8b6df9652ac577,5,c4a6489a7ab8a5d12a8b6df9652ac577,PASS,
tpch1,or_of_conjunctions_path,or_of_conjunctions,policy.txt,11,1,3,ours_vs_rls_with_index,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,PASS,
tpch1,witness_chain_lineitem_orders_customer,cross_table_witness_multi_constraint,logs/stage2_chain_policy.txt,custom,1,3,ours_vs_rls_with_index,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,PASS,
tpch1,join_column_literal_domain_dict,join_column_const_uses_domain_dict,logs/stage2_joincol_policy.txt,custom,1,4,ours_vs_rls_with_index,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,PASS,
