db,query_id,mode,policy_ids,ours_rows,ours_hash,gt_rows,gt_hash,status,reason
tpch1,1,tidscan_on,"11,12,13,14,15,16,17,18,19,20",4,2abadc97238956035753729fda626a7d,4,2abadc97238956035753729fda626a7d,PASS,
tpch1,3,tidscan_on,"11,12,13,14,15,16,17,18,19,20",0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,PASS,
tpch1,6,tidscan_on,"11,12,13,14,15,16,17,18,19,20",1,34fe41804c0eec91827dd2b95857bc9f,1,34fe41804c0eec91827dd2b95857bc9f,PASS,
tpch1,13,tidscan_on,"11,12,13,14,15,16,17,18,19,20",27,5008c53bf2a6d75171e4a45f337329f0,27,5008c53bf2a6d75171e4a45f337329f0,PASS,
tpch1,22,tidscan_on,"11,12,13,14,15,16,17,18,19,20",7,157b1bea83899f906d826869f3e58863,7,157b1bea83899f906d826869f3e58863,PASS,
tpch1,1,tidscan_off,"11,12,13,14,15,16,17,18,19,20",4,2abadc97238956035753729fda626a7d,4,2abadc97238956035753729fda626a7d,PASS,
tpch1,3,tidscan_off,"11,12,13,14,15,16,17,18,19,20",0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,PASS,
tpch1,6,tidscan_off,"11,12,13,14,15,16,17,18,19,20",1,34fe41804c0eec91827dd2b95857bc9f,1,34fe41804c0eec91827dd2b95857bc9f,PASS,
tpch1,13,tidscan_off,"11,12,13,14,15,16,17,18,19,20",27,5008c53bf2a6d75171e4a45f337329f0,27,5008c53bf2a6d75171e4a45f337329f0,PASS,
tpch1,22,tidscan_off,"11,12,13,14,15,16,17,18,19,20",7,157b1bea83899f906d826869f3e58863,7,157b1bea83899f906d826869f3e58863,PASS,
