db,K,query_id,bytes_artifacts_loaded,bytes_allow,bytes_ctid,bytes_blk_index,eval_ms,artifact_load_ms,policy_total_ms,ctid_map_ms,filter_ms,rows_seen,rows_passed,ctid_misses,peak_rss_kb_end,sanity_status,sanity_notes
tpch0_1,5,1,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,-1,ok,
tpch0_1,5,2,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,-1,ok,
tpch0_1,5,3,27977134,75072,4804576,135192,0.189,27.056,7.152,17.869,15.254,3023,24,0,239684,unsafe,bytes_allow_ratio=198.669
tpch0_1,5,4,27977134,75072,4804576,135192,0.171,26.908,6.902,19.221,8.714,14197,0,0,234084,unsafe,bytes_allow_ratio=42.303
tpch0_1,5,5,27977134,75072,4804576,135192,0.198,27.603,7.256,18.435,9.973,18948,125,0,240828,unsafe,bytes_allow_ratio=31.696
tpch0_1,5,6,27977134,75072,4804576,135192,0.175,27.485,7.045,18.048,34.429,11482,395,0,213656,unsafe,bytes_allow_ratio=52.306
tpch0_1,5,7,27977134,75072,4804576,135192,0.195,27.043,6.748,18.261,17.579,14246,24,0,245340,unsafe,bytes_allow_ratio=42.158
tpch0_1,5,8,27977134,75072,4804576,135192,0.198,27.160,7.058,17.234,17.264,36999,32,0,245848,unsafe,bytes_allow_ratio=16.232
tpch0_1,5,9,27977134,75072,4804576,135192,0.200,27.150,7.184,18.153,86.512,600572,2271,0,222020,ok,
tpch0_1,5,10,27977134,75072,4804576,135192,0.178,26.882,7.086,17.688,48.408,148301,2271,0,239768,unsafe,bytes_allow_ratio=4.050
tpch0_1,5,11,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,-1,ok,
tpch0_1,5,12,27977134,75072,4804576,135192,0.179,27.160,6.980,18.042,52.372,3209,38,0,236984,unsafe,bytes_allow_ratio=187.154
tpch0_1,5,13,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,-1,ok,
tpch0_1,5,14,27977134,75072,4804576,135192,0.174,26.956,7.036,17.919,31.184,7624,60,0,217556,unsafe,bytes_allow_ratio=78.774
tpch0_1,5,15,27977134,75072,4804576,135192,0.172,27.166,7.141,17.536,31.870,23006,0,0,218872,unsafe,bytes_allow_ratio=26.105
tpch0_1,5,16,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,-1,ok,
tpch0_1,5,17,27977134,75072,4804576,135192,0.164,26.808,7.224,17.938,153.485,600609,2272,0,292804,ok,
tpch0_1,5,18,27977134,75072,4804576,135192,0.177,27.253,7.308,20.261,72.207,600885,2272,0,273748,ok,
tpch0_1,5,19,27977134,75072,4804576,135192,0.176,26.712,6.988,17.795,52.945,12547,0,0,220764,unsafe,bytes_allow_ratio=47.866
