row_type,db,K,query_id,setup_ms,cold_ms,hot1_ms,hot2_ms,hot3_ms,hot4_ms,hot5_ms,hot_avg_ms,status,error_type,error_msg
setup,tpch0_1,5,__setup__,4963.516,,,,,,,,ok,,
query,tpch0_1,5,1,,20.268,20.472,,,,,20.472,error,db_error,"ERROR:  syntax error at or near ""("" LINE 1: ...shipdate <= date '1998-12-01' - interval '67' day (3) group ...                                                              ^"
query,tpch0_1,5,2,,222.775,202.671,,,,,202.671,ok,,
query,tpch0_1,5,3,,283.768,101.384,,,,,101.384,ok,,
query,tpch0_1,5,4,,263.513,81.116,,,,,81.116,ok,,
query,tpch0_1,5,5,,283.398,81.073,,,,,81.073,ok,,
query,tpch0_1,5,6,,283.564,101.481,,,,,101.481,ok,,
query,tpch0_1,5,7,,263.230,81.039,,,,,81.039,ok,,
query,tpch0_1,5,8,,283.745,101.555,,,,,101.555,ok,,
query,tpch0_1,5,9,,344.380,161.601,,,,,161.601,ok,,
query,tpch0_1,5,10,,304.142,121.833,,,,,121.833,ok,,
query,tpch0_1,5,11,,20.258,20.180,,,,,20.180,ok,,
query,tpch0_1,5,12,,303.782,121.821,,,,,121.821,ok,,
query,tpch0_1,5,13,,60.609,40.638,,,,,40.638,ok,,
query,tpch0_1,5,14,,283.252,101.086,,,,,101.086,ok,,
query,tpch0_1,5,15,,283.086,101.185,,,,,101.185,ok,,
query,tpch0_1,5,16,,40.625,40.521,,,,,40.521,ok,,
query,tpch0_1,5,17,,465.259,243.167,,,,,243.167,ok,,
query,tpch0_1,5,18,,344.646,141.963,,,,,141.963,ok,,
query,tpch0_1,5,19,,304.165,121.702,,,,,121.702,ok,,
