db,baseline,query_id,policy_set_name,policy_ids,num_policies,query_complexity,policy_complexity,cold_ms,hot_ms,correctness,baseline_rows,rls_index_rows,mem_overhead_kb,status,error_type,error_msg,pre_run_memory_building_ms
postgres,no_policy,1,1-5,"1,2,3,4,5",5,4,30,,,UNKNOWN,,,,0,setup_error,"db_hygiene_failed: [pg_hygiene] connecting db=postgres [pg_hygiene] FAIL connect db=postgres err=connection to server at ""localhost"" (127.0.0.1), port 5432 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections?",0.000
postgres,no_policy,2,1-5,"1,2,3,4,5",5,15,0,,,UNKNOWN,,,,0,setup_error,"db_hygiene_failed: [pg_hygiene] connecting db=postgres [pg_hygiene] FAIL connect db=postgres err=connection to server at ""localhost"" (127.0.0.1), port 5432 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections?",0.000
postgres,no_policy,3,1-5,"1,2,3,4,5",5,8,0,,,UNKNOWN,,,,0,setup_error,"db_hygiene_failed: [pg_hygiene] connecting db=postgres [pg_hygiene] FAIL connect db=postgres err=connection to server at ""localhost"" (127.0.0.1), port 5432 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections?",0.000
postgres,no_policy,4,1-5,"1,2,3,4,5",5,9,30,,,UNKNOWN,,,,0,setup_error,"db_hygiene_failed: [pg_hygiene] connecting db=postgres [pg_hygiene] FAIL connect db=postgres err=connection to server at ""localhost"" (127.0.0.1), port 5432 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections?",0.000
postgres,no_policy,5,1-5,"1,2,3,4,5",5,12,0,,,UNKNOWN,,,,0,setup_error,"db_hygiene_failed: [pg_hygiene] connecting db=postgres [pg_hygiene] FAIL connect db=postgres err=connection to server at ""localhost"" (127.0.0.1), port 5432 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections?",0.000
postgres,no_policy,6,1-5,"1,2,3,4,5",5,6,30,,,UNKNOWN,,,,0,setup_error,"db_hygiene_failed: [pg_hygiene] connecting db=postgres [pg_hygiene] FAIL connect db=postgres err=connection to server at ""localhost"" (127.0.0.1), port 5432 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections?",0.000
postgres,no_policy,7,1-5,"1,2,3,4,5",5,15,0,,,UNKNOWN,,,,0,setup_error,"db_hygiene_failed: [pg_hygiene] connecting db=postgres [pg_hygiene] FAIL connect db=postgres err=connection to server at ""localhost"" (127.0.0.1), port 5432 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections?",0.000
postgres,no_policy,8,1-5,"1,2,3,4,5",5,15,0,,,UNKNOWN,,,,0,setup_error,"db_hygiene_failed: [pg_hygiene] connecting db=postgres [pg_hygiene] FAIL connect db=postgres err=connection to server at ""localhost"" (127.0.0.1), port 5432 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections?",0.000
postgres,no_policy,9,1-5,"1,2,3,4,5",5,11,0,,,UNKNOWN,,,,0,setup_error,"db_hygiene_failed: [pg_hygiene] connecting db=postgres [pg_hygiene] FAIL connect db=postgres err=connection to server at ""localhost"" (127.0.0.1), port 5432 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections?",0.000
postgres,no_policy,10,1-5,"1,2,3,4,5",5,9,0,,,UNKNOWN,,,,0,setup_error,"db_hygiene_failed: [pg_hygiene] connecting db=postgres [pg_hygiene] FAIL connect db=postgres err=connection to server at ""localhost"" (127.0.0.1), port 5432 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections?",0.000
