db,policy_set,policy_ids,query_id,status,error_type,error_msg,hub_ms,stamp_ms,propagate_ms,bin_ms,sig_ms,sat_ms,decode_ms,filter_ms,policy_profile_query_line,policy_profile_line
tpch0_1,S_A,"1,2,3,4,5",1,1,,,1.022,1.739,0.000,0.321,83.685,0.914,12.736,33.493,policy_profile_query: hub_ms=1.022 stamp_ms=1.739 propagate_ms=0.000 bin_ms=0.321 sig_ms=83.685 sat_ms=0.914 decode_ms=12.736,policy_profile: filter_ms=33.493
tpch0_1,S_A,"1,2,3,4,5",3,1,,,1.049,1.739,0.000,0.406,83.451,0.871,13.022,20.181,policy_profile_query: hub_ms=1.049 stamp_ms=1.739 propagate_ms=0.000 bin_ms=0.406 sig_ms=83.451 sat_ms=0.871 decode_ms=13.022,policy_profile: filter_ms=20.181
tpch0_1,S_A,"1,2,3,4,5",6,1,,,17.355,0.331,0.000,0.514,83.406,0.922,11.703,21.563,policy_profile_query: hub_ms=17.355 stamp_ms=0.331 propagate_ms=0.000 bin_ms=0.514 sig_ms=83.406 sat_ms=0.922 decode_ms=11.703,policy_profile: filter_ms=21.563
tpch0_1,S_A,"1,2,3,4,5",10,1,,,5.452,0.520,0.000,0.406,83.890,0.933,11.471,26.860,policy_profile_query: hub_ms=5.452 stamp_ms=0.520 propagate_ms=0.000 bin_ms=0.406 sig_ms=83.890 sat_ms=0.933 decode_ms=11.471,policy_profile: filter_ms=26.860
tpch0_1,S_A,"1,2,3,4,5",11,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,policy_profile: filter_ms=0.000
tpch0_1,S_A,"1,2,3,4,5",13,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,policy_profile: filter_ms=0.000
tpch0_1,S_A,"1,2,3,4,5",22,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,policy_profile: filter_ms=0.000
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",1,1,,,1.053,1.738,0.000,0.305,83.572,0.890,12.879,32.519,policy_profile_query: hub_ms=1.053 stamp_ms=1.738 propagate_ms=0.000 bin_ms=0.305 sig_ms=83.572 sat_ms=0.890 decode_ms=12.879,policy_profile: filter_ms=32.519
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",3,1,,,1.320,1.746,0.001,0.356,85.682,1.002,13.388,0.000,policy_profile_query: hub_ms=1.320 stamp_ms=1.746 propagate_ms=0.001 bin_ms=0.356 sig_ms=85.682 sat_ms=1.002 decode_ms=13.388,policy_profile: filter_ms=0.000
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",6,1,,,16.984,0.335,0.000,0.554,83.373,0.939,11.510,21.724,policy_profile_query: hub_ms=16.984 stamp_ms=0.335 propagate_ms=0.000 bin_ms=0.554 sig_ms=83.373 sat_ms=0.939 decode_ms=11.510,policy_profile: filter_ms=21.724
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",10,1,,,5.311,0.570,0.000,0.411,85.573,0.964,11.947,0.000,policy_profile_query: hub_ms=5.311 stamp_ms=0.570 propagate_ms=0.000 bin_ms=0.411 sig_ms=85.573 sat_ms=0.964 decode_ms=11.947,policy_profile: filter_ms=0.000
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",11,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,policy_profile: filter_ms=0.000
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",13,1,,,0.057,0.044,0.000,0.000,1.913,0.072,0.541,0.017,policy_profile_query: hub_ms=0.057 stamp_ms=0.044 propagate_ms=0.000 bin_ms=0.000 sig_ms=1.913 sat_ms=0.072 decode_ms=0.541,policy_profile: filter_ms=0.017
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",22,1,,,0.056,0.044,0.000,0.000,1.876,0.072,0.528,0.015,policy_profile_query: hub_ms=0.056 stamp_ms=0.044 propagate_ms=0.000 bin_ms=0.000 sig_ms=1.876 sat_ms=0.072 decode_ms=0.528,policy_profile: filter_ms=0.015
tpch0_1,S_C,"11,12,13,14,15",1,1,,,58.981,44.485,0.086,0.000,48.060,0.010,8.470,0.000,policy_profile_query: hub_ms=58.981 stamp_ms=44.485 propagate_ms=0.086 bin_ms=0.000 sig_ms=48.060 sat_ms=0.010 decode_ms=8.470,policy_profile: filter_ms=0.000
tpch0_1,S_C,"11,12,13,14,15",3,1,,,59.825,41.672,0.081,0.000,48.210,0.010,8.438,0.000,policy_profile_query: hub_ms=59.825 stamp_ms=41.672 propagate_ms=0.081 bin_ms=0.000 sig_ms=48.210 sat_ms=0.010 decode_ms=8.438,policy_profile: filter_ms=0.000
