db,policy_set,policy_ids,query_id,rls_hot_ms,ours_hot_ms,speedup_rls_over_ours,rls_peak_rss_kb,ours_peak_rss_kb,rss_ratio_rls_over_ours,rls_status,ours_status
tpch0_1,S_A,"1,2,3,4,5",1,121.033,362.101,0.334,121188,204020,0.594,1,1
tpch0_1,S_A,"1,2,3,4,5",10,60.859,332.300,0.183,154764,206088,0.751,1,1
tpch0_1,S_A,"1,2,3,4,5",11,30.496,30.795,0.990,39040,43496,0.898,1,1
tpch0_1,S_A,"1,2,3,4,5",13,90.602,90.884,0.997,112116,116340,0.964,1,1
tpch0_1,S_A,"1,2,3,4,5",22,30.433,30.592,0.995,109904,114540,0.960,1,1
tpch0_1,S_A,"1,2,3,4,5",3,60.592,331.896,0.183,151172,204852,0.738,1,1
tpch0_1,S_A,"1,2,3,4,5",6,60.582,331.892,0.183,151196,204532,0.739,1,1
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",1,120.818,362.339,0.333,149244,200792,0.743,1,1
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",10,60.525,331.683,0.182,150672,109036,1.382,1,1
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",11,30.458,30.725,0.991,37532,81440,0.461,1,1
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",13,30.404,90.845,0.335,35620,39248,0.908,1,1
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",22,30.483,90.833,0.336,36116,38980,0.927,1,1
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",3,30.466,331.893,0.092,29188,109800,0.266,1,1
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",6,60.491,301.713,0.200,148508,202012,0.735,1,1
tpch0_1,S_C,"11,12,13,14,15",1,1355.762,181.200,7.482,147076,107648,1.366,1,1
tpch0_1,S_C,"11,12,13,14,15",10,331.693,181.392,1.829,136096,111360,1.222,1,1
tpch0_1,S_C,"11,12,13,14,15",11,30.531,30.746,0.993,37496,65340,0.574,1,1
tpch0_1,S_C,"11,12,13,14,15",13,602.575,60.717,9.924,109784,56072,1.958,1,1
tpch0_1,S_C,"11,12,13,14,15",22,90.752,60.712,1.495,108852,56092,1.941,1,1
tpch0_1,S_C,"11,12,13,14,15",3,150.881,181.351,0.832,130200,108916,1.195,1,1
tpch0_1,S_C,"11,12,13,14,15",6,692.971,181.200,3.824,146112,106776,1.368,1,1
tpch0_1,S_D,"11,12,13,14,15,16,17,18,19,20",1,3102.852,633.463,4.898,152096,174020,0.874,1,1
tpch0_1,S_D,"11,12,13,14,15,16,17,18,19,20",10,361.772,603.159,0.600,140308,173760,0.807,1,1
tpch0_1,S_D,"11,12,13,14,15,16,17,18,19,20",11,30.463,63.814,0.477,24200,64228,0.377,1,1
tpch0_1,S_D,"11,12,13,14,15,16,17,18,19,20",13,602.537,60.948,9.886,107220,59696,1.796,1,1
tpch0_1,S_D,"11,12,13,14,15,16,17,18,19,20",22,90.607,60.947,1.487,105760,60144,1.758,1,1
tpch0_1,S_D,"11,12,13,14,15,16,17,18,19,20",3,150.900,633.303,0.238,130848,175288,0.746,1,1
tpch0_1,S_D,"11,12,13,14,15,16,17,18,19,20",6,1807.464,633.354,2.854,152988,174348,0.877,1,1
tpch0_1,S_E,"21,22,23,24,25",1,482.221,753.320,0.640,143728,180464,0.796,1,1
tpch0_1,S_E,"21,22,23,24,25",10,94.962,242.200,0.392,153856,187552,0.820,1,1
tpch0_1,S_E,"21,22,23,24,25",11,30.505,90.782,0.336,23680,54840,0.432,1,1
tpch0_1,S_E,"21,22,23,24,25",13,90.575,90.729,0.998,81292,86008,0.945,1,1
tpch0_1,S_E,"21,22,23,24,25",22,30.512,30.606,0.997,79524,84276,0.944,1,1
tpch0_1,S_E,"21,22,23,24,25",3,150.960,331.858,0.455,148672,186376,0.798,1,1
tpch0_1,S_E,"21,22,23,24,25",6,150.840,181.166,0.833,144460,181828,0.794,1,1
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",1,1717.189,1295.806,1.325,155724,325612,0.478,1,1
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",10,30.515,785.651,0.039,66708,314608,0.212,1,1
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",11,30.387,271.709,0.112,23492,131964,0.178,1,1
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",13,30.388,120.935,0.251,71320,90148,0.791,1,1
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",22,30.392,90.816,0.335,40164,89360,0.449,1,1
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",3,30.442,844.065,0.036,66860,317776,0.210,1,1
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",6,1205.121,663.261,1.817,150044,289980,0.517,1,1
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",1,3162.875,2711.646,1.166,155388,336432,0.462,1,1
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",10,30.391,1747.779,0.017,43556,247928,0.176,1,1
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",11,30.386,1235.834,0.025,24752,152044,0.163,1,1
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",13,30.542,1175.492,0.026,41392,122320,0.338,1,1
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",22,30.384,1175.502,0.026,42472,121248,0.350,1,1
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",3,30.426,1747.835,0.017,21528,265912,0.081,1,1
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",6,2168.754,1838.298,1.180,152684,314972,0.485,1,1
tpch1,S_A,"1,2,3,4,5",1,1747.312,3404.079,0.513,174868,624908,0.280,1,1
tpch1,S_A,"1,2,3,4,5",10,1448.728,3257.500,0.445,189880,622636,0.305,1,1
tpch1,S_A,"1,2,3,4,5",11,294.687,294.684,1.000,29500,33716,0.875,1,1
tpch1,S_A,"1,2,3,4,5",13,1054.489,1054.729,1.000,79068,155424,0.509,1,1
tpch1,S_A,"1,2,3,4,5",22,331.744,331.772,1.000,66376,142056,0.467,1,1
tpch1,S_A,"1,2,3,4,5",3,1295.652,3163.268,0.410,175492,626408,0.280,1,1
tpch1,S_A,"1,2,3,4,5",6,632.966,3012.577,0.210,149288,625140,0.239,1,1
tpch1,S_B,"1,2,3,4,5,6,7,8,9,10",1,1747.283,3434.348,0.509,174284,624664,0.279,1,1
tpch1,S_B,"1,2,3,4,5,6,7,8,9,10",10,1325.530,3163.212,0.419,190356,644396,0.295,1,1
tpch1,S_B,"1,2,3,4,5,6,7,8,9,10",11,293.986,296.042,0.993,29556,37568,0.787,1,1
tpch1,S_B,"1,2,3,4,5,6,7,8,9,10",13,30.458,663.271,0.046,57032,147544,0.387,1,1
tpch1,S_B,"1,2,3,4,5,6,7,8,9,10",22,30.468,663.224,0.046,56936,146060,0.390,1,1
tpch1,S_B,"1,2,3,4,5,6,7,8,9,10",3,60.684,3133.200,0.019,42704,648052,0.066,1,1
tpch1,S_B,"1,2,3,4,5,6,7,8,9,10",6,632.831,3012.714,0.210,149240,625076,0.239,1,1
tpch1,S_C,"11,12,13,14,15",1,15180.871,1928.329,7.873,156092,685372,0.228,1,1
tpch1,S_C,"11,12,13,14,15",10,5278.784,2349.985,2.246,161196,708924,0.227,1,1
tpch1,S_C,"11,12,13,14,15",11,294.936,271.958,1.084,29584,38092,0.777,1,1
tpch1,S_C,"11,12,13,14,15",13,8012.318,482.447,16.608,163528,198752,0.823,1,1
tpch1,S_C,"11,12,13,14,15",22,1114.778,512.968,2.173,151824,204640,0.742,1,1
tpch1,S_C,"11,12,13,14,15",3,1807.960,1928.499,0.937,151668,685976,0.221,1,1
tpch1,S_C,"11,12,13,14,15",6,7139.003,1928.432,3.702,150776,685044,0.220,1,1
tpch1,S_D,"11,12,13,14,15,16,17,18,19,20",1,34275.979,7259.889,4.721,153288,1213732,0.126,1,1
tpch1,S_D,"11,12,13,14,15,16,17,18,19,20",10,5572.729,7018.968,0.794,163712,1213976,0.135,1,1
tpch1,S_D,"11,12,13,14,15,16,17,18,19,20",11,30.686,709.969,0.043,18540,73224,0.253,1,1
tpch1,S_D,"11,12,13,14,15,16,17,18,19,20",13,7982.363,482.683,16.537,163124,198360,0.822,1,1
tpch1,S_D,"11,12,13,14,15,16,17,18,19,20",22,1114.771,512.816,2.174,151628,199112,0.762,1,1
tpch1,S_D,"11,12,13,14,15,16,17,18,19,20",3,1837.794,7290.162,0.252,154504,1213200,0.127,1,1
tpch1,S_D,"11,12,13,14,15,16,17,18,19,20",6,19276.138,7199.933,2.677,153196,1213776,0.126,1,1
tpch1,S_E,"21,22,23,24,25",1,4698.672,7499.594,0.627,27368,471724,0.058,1,1
tpch1,S_E,"21,22,23,24,25",10,1478.927,2529.109,0.585,177684,471524,0.377,1,1
tpch1,S_E,"21,22,23,24,25",11,30.612,714.542,0.043,19524,52020,0.375,1,1
