db,policy_set,policy_ids,query_id,baseline,status,error_type,error_msg,setup_ms,hot_ms,peak_rss_kb,parallelism_off_verified
tpch0_1,S_A,"1,2,3,4,5",1,rls_index,1,,,4288.563,121.013,152492,true
tpch0_1,S_A,"1,2,3,4,5",3,rls_index,1,,,4288.563,60.584,150180,true
tpch0_1,S_A,"1,2,3,4,5",6,rls_index,1,,,4288.563,60.528,149240,true
tpch0_1,S_A,"1,2,3,4,5",10,rls_index,1,,,4288.563,61.682,154264,true
tpch0_1,S_A,"1,2,3,4,5",11,rls_index,1,,,4288.563,30.507,52980,true
tpch0_1,S_A,"1,2,3,4,5",13,rls_index,1,,,4288.563,90.572,64268,true
tpch0_1,S_A,"1,2,3,4,5",22,rls_index,1,,,4288.563,30.401,86400,true
tpch0_1,S_A,"1,2,3,4,5",1,ours,1,,,1165.845,512.581,221264,true
tpch0_1,S_A,"1,2,3,4,5",3,ours,1,,,1165.845,482.415,224164,true
tpch0_1,S_A,"1,2,3,4,5",6,ours,1,,,1165.845,482.450,221428,true
tpch0_1,S_A,"1,2,3,4,5",10,ours,1,,,1165.845,513.172,223808,true
tpch0_1,S_A,"1,2,3,4,5",11,ours,1,,,1165.845,30.742,48120,true
tpch0_1,S_A,"1,2,3,4,5",13,ours,1,,,1165.845,90.773,95960,true
tpch0_1,S_A,"1,2,3,4,5",22,ours,1,,,1165.845,30.596,94856,true
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",1,rls_index,1,,,4364.001,120.793,150228,true
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",3,rls_index,1,,,4364.001,30.419,32852,true
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",6,rls_index,1,,,4364.001,60.563,147568,true
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",10,rls_index,1,,,4364.001,60.569,148996,true
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",11,rls_index,1,,,4364.001,30.535,38108,true
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",13,rls_index,1,,,4364.001,30.388,30544,true
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",22,rls_index,1,,,4364.001,30.380,30528,true
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",1,ours,1,,,1217.652,512.592,218336,true
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",3,ours,1,,,1217.652,542.727,129188,true
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",6,ours,1,,,1217.652,482.462,218320,true
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",10,ours,1,,,1217.652,542.804,129948,true
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",11,ours,1,,,1217.652,30.754,84972,true
