db,baseline,policy_set,policy_ids,query_id,status,error_type,error_msg,hot_ms,peak_rss_kb,rows,gt_rows,match_gt,cmp_mode,cmp_first_diff_idx,cmp_first_ours,cmp_first_gt,cmp_rows_file_ours,cmp_rows_file_gt,setup_ms,disk_bytes,parallelism_off_verified,scan_mode,scan_mode_reason,allow_density,allow_page_density,policy_eval_ms_total,artifact_load_ms,artifact_bytes_read,allow_build_ms,executor_init_ms_ours,custom_scan_total_ms,custom_scan_overhead_ms,non_customscan_exec_ms,cf_exec_child_next_calls_total,cf_exec_rows_seen_total,cf_exec_rows_pass_total,cf_exec_rows_reject_total,cf_exec_allow_lookup_total,cf_exec_allow_lookup_ms,child_exec_ms,ctid_extract_ms,ctid_to_rid_ms,allow_check_ms,projection_ms,tid_count,tid_fetch_calls,tid_fetch_ms,tid_heap_pages_touched,tid_blocks_touched,tid_offsets_total,tid_pages_read_ms,tid_tuple_extract_ms,tid_heap_fetch_ms,tid_slot_store_ms,tid_visibility_ms,sat_ms,sat_models_total,terms_total,single_hub_ms,two_hop_ms,cmp_summary_build_ms,cmp_checks_total,bin_eval_ms_total,single_table_bin_fastpath_used,bin_ops_total,bins_touched_total,allow_cache_hit,allow_cache_miss,allow_cache_build_ms,proj_sig_count,proj_mask_or_ops,proj_rid_iters
tpch1,rls_index,P15,15,1,1,,,4970.065,149860,4,4,TRUE,canonical_multiset,,,,,,20639.075,259637248,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch1,ours,P15,15,1,1,,,5391.943,697472,4,4,TRUE,canonical_multiset,,,,,,7694.610,101988071,true,FILTER,dense_allow_set,0.188002,0.999538,0,0,0,0,0,0,0,5391.943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tpch1,rls_index,P17,17,1,1,,,13733.935,155496,4,4,TRUE,canonical_multiset,,,,,,13908.940,284786688,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch1,ours,P17,17,1,1,,,6868.063,783196,4,4,TRUE,canonical_multiset,,,,,,7335.465,106883996,true,TID,sparse_allow_set,0.087708,0.946551,0,0,0,0,0,0,0,6868.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tpch1,rls_index,P19,19,1,1,,,27318.133,155644,4,4,TRUE,canonical_multiset,,,,,,13111.599,295436288,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch1,ours,P19,19,1,1,,,13102.405,1077044,4,4,TRUE,canonical_multiset,,,,,,12946.371,161782975,true,TID,sparse_allow_set,0.019081,0.643552,0,0,0,0,0,0,0,13102.405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tpch1,rls_index,P15_17,"15,17",1,1,,,19969.167,156184,4,4,TRUE,canonical_multiset,,,,,,29401.621,411795456,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch1,ours,P15_17,"15,17",1,1,,,10843.766,854804,4,4,TRUE,canonical_multiset,,,,,,9379.911,112886115,true,FILTER,dense_allow_set,0.262055,1.000000,0,0,0,0,0,0,0,10843.766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tpch1,rls_index,P17_19,"17,19",1,1,,,40992.362,156268,4,4,TRUE,canonical_multiset,,,,,,22362.664,442171392,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch1,ours,P17_19,"17,19",1,1,,,21385.260,1233308,4,4,TRUE,canonical_multiset,,,,,,14143.799,166942092,true,FILTER,dense_allow_set,0.105138,0.980783,0,0,0,0,0,0,0,21385.260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719.563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tpch1,rls_index,P15_19_only,"15,19",1,1,,,35179.498,155584,4,4,TRUE,canonical_multiset,,,,,,29960.283,433045504,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch1,ours,P15_19_only,"15,19",1,1,,,18493.411,1172672,4,4,TRUE,canonical_multiset,,,,,,15240.563,168347838,true,FILTER,dense_allow_set,0.203496,0.999831,0,0,0,0,0,0,0,18493.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1272.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tpch1,rls_index,P15_17_19,"15,17,19",1,1,,,48763.592,156796,4,4,TRUE,canonical_multiset,,,,,,37871.054,569180160,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch1,ours,P15_17_19,"15,17,19",1,1,,,31865.840,1292464,4,4,TRUE,canonical_multiset,,,,,,16258.557,172944219,true,FILTER,dense_allow_set,0.276160,1.000000,0,0,0,0,0,0,0,31865.840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9555.819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
