db,baseline,policy_set_name,policy_ids,query_id,status,error_type,error_msg,hot_ms,peak_rss_kb,rows,gt_rows,match_gt,setup_ms,disk_bytes
tpch0_1,no_policy,S_A,"1,2,3,4,5",1,ok,,,602.702,101056,4,,NA,19.450,0
tpch0_1,no_policy,S_A,"1,2,3,4,5",3,ok,,,121.055,118532,1153,,NA,19.450,0
tpch0_1,no_policy,S_A,"1,2,3,4,5",6,ok,,,90.744,101016,1,,NA,19.450,0
tpch0_1,no_policy,S_A,"1,2,3,4,5",10,ok,,,158.041,125020,3845,,NA,19.450,0
tpch0_1,no_policy,S_A,"1,2,3,4,5",11,ok,,,30.575,43032,2753,,NA,19.450,0
tpch0_1,view_based,S_A,"1,2,3,4,5",1,ok,,,211.133,107896,2,2,TRUE,42.725,0
tpch0_1,view_based,S_A,"1,2,3,4,5",3,ok,,,181.058,121044,311,311,TRUE,42.725,0
tpch0_1,view_based,S_A,"1,2,3,4,5",6,ok,,,150.894,104656,1,1,TRUE,42.725,0
tpch0_1,view_based,S_A,"1,2,3,4,5",10,ok,,,181.785,124624,1307,1307,TRUE,42.725,0
tpch0_1,view_based,S_A,"1,2,3,4,5",11,ok,,,30.589,43032,2753,2753,TRUE,42.725,0
tpch0_1,rls_index,S_A,"1,2,3,4,5",1,ok,,,120.965,127644,2,2,TRUE,4342.914,75563008
tpch0_1,rls_index,S_A,"1,2,3,4,5",3,ok,,,60.603,145052,311,311,TRUE,4342.914,75563008
tpch0_1,rls_index,S_A,"1,2,3,4,5",6,ok,,,60.522,131620,1,1,TRUE,4342.914,75563008
tpch0_1,rls_index,S_A,"1,2,3,4,5",10,ok,,,61.437,147956,1307,1307,TRUE,4342.914,75563008
tpch0_1,rls_index,S_A,"1,2,3,4,5",11,ok,,,30.592,37380,2753,2753,TRUE,4342.914,75563008
tpch0_1,sieve_index,S_A,"1,2,3,4,5",1,ok,,,120.744,132732,2,2,TRUE,4339.471,75563008
tpch0_1,sieve_index,S_A,"1,2,3,4,5",3,ok,,,90.613,142936,311,311,TRUE,4339.471,75563008
tpch0_1,sieve_index,S_A,"1,2,3,4,5",6,ok,,,60.630,132292,1,1,TRUE,4339.471,75563008
tpch0_1,sieve_index,S_A,"1,2,3,4,5",10,ok,,,60.749,144888,1307,1307,TRUE,4339.471,75563008
tpch0_1,sieve_index,S_A,"1,2,3,4,5",11,ok,,,30.520,38004,2753,2753,TRUE,4339.471,75563008
tpch0_1,ours,S_A,"1,2,3,4,5",1,ok,,,241.644,146088,2,2,TRUE,3009.864,29131488
tpch0_1,ours,S_A,"1,2,3,4,5",3,ok,,,211.391,160568,311,311,TRUE,3009.864,29131488
tpch0_1,ours,S_A,"1,2,3,4,5",6,ok,,,181.265,149796,1,1,TRUE,3009.864,29131488
tpch0_1,ours,S_A,"1,2,3,4,5",10,ok,,,212.062,163436,1307,1307,TRUE,3009.864,29131488
tpch0_1,ours,S_A,"1,2,3,4,5",11,ok,,,30.982,50644,2753,2753,TRUE,3009.864,29131488
tpch0_1,no_policy,S_B,"1,2,3,4,5,6,7,8,9,10",1,ok,,,602.684,130504,4,,NA,21.189,0
tpch0_1,no_policy,S_B,"1,2,3,4,5,6,7,8,9,10",3,ok,,,120.715,144952,1153,,NA,21.189,0
tpch0_1,no_policy,S_B,"1,2,3,4,5,6,7,8,9,10",6,ok,,,90.739,131536,1,,NA,21.189,0
tpch0_1,no_policy,S_B,"1,2,3,4,5,6,7,8,9,10",10,ok,,,126.169,150356,3845,,NA,21.189,0
tpch0_1,no_policy,S_B,"1,2,3,4,5,6,7,8,9,10",11,ok,,,30.551,51764,2753,,NA,21.189,0
tpch0_1,view_based,S_B,"1,2,3,4,5,6,7,8,9,10",1,ok,,,210.981,137816,2,2,TRUE,44.279,0
tpch0_1,view_based,S_B,"1,2,3,4,5,6,7,8,9,10",3,ok,,,30.390,33444,0,0,TRUE,44.279,0
tpch0_1,view_based,S_B,"1,2,3,4,5,6,7,8,9,10",6,ok,,,150.778,132752,1,1,TRUE,44.279,0
