db,policy_set,policy_ids,query_id,status,error_type,error_msg,rls_count,view_count,rls_hash,view_hash,count_match,hash_match,match
tpch0_1,S_A,"1,2,3,4,5",1,ok,,,4,2,e4b573758499b162f5d590963d1f64d8,6b23519e9bb6976fc8207bcb897b2800,0,0,0
tpch0_1,S_A,"1,2,3,4,5",3,ok,,,1153,311,52fb0b14503fad6c9935a64a4d7c5227,5db592aa190655620ba81ec9a3cc3d4c,0,0,0
tpch0_1,S_A,"1,2,3,4,5",6,ok,,,1,1,6857f97d5a2249cb69b61a43d4e52516,20c82b47b7d063d653bdf9fbc14c23a2,1,0,0
tpch0_1,S_A,"1,2,3,4,5",10,ok,,,3845,1307,f9bef409630bb1d5f49cb8b0d5bf0cae,6bf0e52f111ad9380880a72c21732711,0,0,0
tpch0_1,S_A,"1,2,3,4,5",11,ok,,,2753,2753,01f8a66ea3fbf9afeb43876e3f41c6b0,01f8a66ea3fbf9afeb43876e3f41c6b0,1,1,1
tpch0_1,S_A,"1,2,3,4,5",13,ok,,,37,37,7590ec7055e099a850b01dde0049b951,7590ec7055e099a850b01dde0049b951,1,1,1
tpch0_1,S_A,"1,2,3,4,5",22,ok,,,7,7,2128e7251299ad57dcae8e45ad4d723b,2128e7251299ad57dcae8e45ad4d723b,1,1,1
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",1,ok,,,4,2,e4b573758499b162f5d590963d1f64d8,6b23519e9bb6976fc8207bcb897b2800,0,0,0
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",3,ok,,,1153,0,52fb0b14503fad6c9935a64a4d7c5227,d41d8cd98f00b204e9800998ecf8427e,0,0,0
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",6,ok,,,1,1,6857f97d5a2249cb69b61a43d4e52516,20c82b47b7d063d653bdf9fbc14c23a2,1,0,0
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",10,ok,,,3845,0,f9bef409630bb1d5f49cb8b0d5bf0cae,d41d8cd98f00b204e9800998ecf8427e,0,0,0
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",11,ok,,,2753,2753,01f8a66ea3fbf9afeb43876e3f41c6b0,01f8a66ea3fbf9afeb43876e3f41c6b0,1,1,1
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",13,ok,,,37,0,7590ec7055e099a850b01dde0049b951,d41d8cd98f00b204e9800998ecf8427e,0,0,0
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",22,ok,,,7,0,2128e7251299ad57dcae8e45ad4d723b,d41d8cd98f00b204e9800998ecf8427e,0,0,0
tpch0_1,S_C,"11,12,13,14,15",1,ok,,,4,4,e4b573758499b162f5d590963d1f64d8,c597aea35f5b7f41955f29067c464ff4,1,0,0
tpch0_1,S_C,"11,12,13,14,15",3,ok,,,1153,39,52fb0b14503fad6c9935a64a4d7c5227,82750b347a724b91d1ddd1d476d920c3,0,0,0
tpch0_1,S_C,"11,12,13,14,15",6,ok,,,1,1,6857f97d5a2249cb69b61a43d4e52516,d8531f25ad97a8d00607c18ce093157b,1,0,0
tpch0_1,S_C,"11,12,13,14,15",10,ok,,,3845,461,f9bef409630bb1d5f49cb8b0d5bf0cae,d8e37995a13fee14cb377c07a5d3c1c0,0,0,0
tpch0_1,S_C,"11,12,13,14,15",11,ok,,,2753,2753,01f8a66ea3fbf9afeb43876e3f41c6b0,01f8a66ea3fbf9afeb43876e3f41c6b0,1,1,1
tpch0_1,S_C,"11,12,13,14,15",13,ok,,,37,23,7590ec7055e099a850b01dde0049b951,b5d1f5376abf74fb041b8e33b80925ca,0,0,0
tpch0_1,S_C,"11,12,13,14,15",22,ok,,,7,7,2128e7251299ad57dcae8e45ad4d723b,83bc995168ba104e267a9b7e441605da,1,0,0
