db,policy_set,query_id,status,rls_rows,view_rows,match,error,diff_idx,rls_first,view_first
tpch0_1,S_A,11,ok,2753,2753,true,,,,
tpch0_1,S_A,13,ok,37,37,true,,,,
tpch0_1,S_A,22,ok,7,7,true,,,,
tpch0_1,S_B,11,ok,2753,2753,true,,,,
tpch0_1,S_B,13,ok,0,0,true,,,,
tpch0_1,S_B,22,ok,0,0,true,,,,
tpch0_1,S_C,11,ok,2753,2753,true,,,,
tpch0_1,S_C,13,ok,23,23,true,,,,
tpch0_1,S_C,22,ok,7,7,true,,,,
tpch0_1,S_D,11,ok,0,0,true,,,,
tpch0_1,S_D,13,ok,23,23,true,,,,
tpch0_1,S_D,22,ok,7,7,true,,,,
tpch0_1,S_E,11,ok,0,0,true,,,,
tpch0_1,S_E,13,ok,37,37,true,,,,
tpch0_1,S_E,22,ok,7,7,true,,,,
tpch0_1,S_F,11,ok,0,0,true,,,,
tpch0_1,S_F,13,ok,1,1,true,,,,
tpch0_1,S_F,22,ok,7,7,true,,,,
tpch0_1,S_G,11,ok,0,0,true,,,,
tpch0_1,S_G,13,ok,0,0,true,,,,
tpch0_1,S_G,22,ok,0,0,true,,,,
