policy_set,query_id,rls_count,view_count,rls_hash,view_hash,match,rls_err,view_err
S_A,1,2,2,6b23519e9bb6976fc8207bcb897b2800,6b23519e9bb6976fc8207bcb897b2800,1,,
S_A,3,311,311,5db592aa190655620ba81ec9a3cc3d4c,5db592aa190655620ba81ec9a3cc3d4c,1,,
S_A,6,1,1,20c82b47b7d063d653bdf9fbc14c23a2,20c82b47b7d063d653bdf9fbc14c23a2,1,,
S_A,10,1307,1307,6bf0e52f111ad9380880a72c21732711,6bf0e52f111ad9380880a72c21732711,1,,
S_A,11,2753,2753,01f8a66ea3fbf9afeb43876e3f41c6b0,01f8a66ea3fbf9afeb43876e3f41c6b0,1,,
S_A,13,37,37,7590ec7055e099a850b01dde0049b951,7590ec7055e099a850b01dde0049b951,1,,
S_A,22,7,7,2128e7251299ad57dcae8e45ad4d723b,2128e7251299ad57dcae8e45ad4d723b,1,,
S_B,1,2,2,6b23519e9bb6976fc8207bcb897b2800,6b23519e9bb6976fc8207bcb897b2800,1,,
S_B,3,0,0,d41d8cd98f00b204e9800998ecf8427e,d41d8cd98f00b204e9800998ecf8427e,1,,
S_B,6,1,1,20c82b47b7d063d653bdf9fbc14c23a2,20c82b47b7d063d653bdf9fbc14c23a2,1,,
S_B,10,0,0,d41d8cd98f00b204e9800998ecf8427e,d41d8cd98f00b204e9800998ecf8427e,1,,
S_B,11,2753,2753,01f8a66ea3fbf9afeb43876e3f41c6b0,01f8a66ea3fbf9afeb43876e3f41c6b0,1,,
S_B,13,0,0,d41d8cd98f00b204e9800998ecf8427e,d41d8cd98f00b204e9800998ecf8427e,1,,
S_B,22,0,0,d41d8cd98f00b204e9800998ecf8427e,d41d8cd98f00b204e9800998ecf8427e,1,,
S_C,1,4,4,5648e438ce9d1ec381b6870f4253123d,5648e438ce9d1ec381b6870f4253123d,1,,
S_C,3,39,39,82750b347a724b91d1ddd1d476d920c3,82750b347a724b91d1ddd1d476d920c3,1,,
S_C,6,1,1,02fa9379bc6ff9aa5d3f232ef309ae4b,02fa9379bc6ff9aa5d3f232ef309ae4b,1,,
S_C,10,461,461,d8e37995a13fee14cb377c07a5d3c1c0,d8e37995a13fee14cb377c07a5d3c1c0,1,,
S_C,11,2753,2753,01f8a66ea3fbf9afeb43876e3f41c6b0,01f8a66ea3fbf9afeb43876e3f41c6b0,1,,
S_C,13,23,23,b5d1f5376abf74fb041b8e33b80925ca,b5d1f5376abf74fb041b8e33b80925ca,1,,
S_C,22,7,7,83bc995168ba104e267a9b7e441605da,83bc995168ba104e267a9b7e441605da,1,,
