policy_set,query_id,rls_count,view_count,rls_hash,view_hash,match,rls_err,view_err
S_A,11,22571,22571,1cf2beddfd31f4171650def4bcfe68ab,1cf2beddfd31f4171650def4bcfe68ab,1,,
S_A,13,42,42,6789fe4f627c452d04e01d4e1a4c0384,6789fe4f627c452d04e01d4e1a4c0384,1,,
S_A,22,7,7,8fb9a5eb160efdc9d8879b2ad503adfe,8fb9a5eb160efdc9d8879b2ad503adfe,1,,
S_B,11,22571,22571,1cf2beddfd31f4171650def4bcfe68ab,1cf2beddfd31f4171650def4bcfe68ab,1,,
S_B,13,0,0,d41d8cd98f00b204e9800998ecf8427e,d41d8cd98f00b204e9800998ecf8427e,1,,
S_B,22,0,0,d41d8cd98f00b204e9800998ecf8427e,d41d8cd98f00b204e9800998ecf8427e,1,,
S_C,11,22571,22571,1cf2beddfd31f4171650def4bcfe68ab,1cf2beddfd31f4171650def4bcfe68ab,1,,
S_C,13,27,27,5008c53bf2a6d75171e4a45f337329f0,5008c53bf2a6d75171e4a45f337329f0,1,,
S_C,22,7,7,157b1bea83899f906d826869f3e58863,157b1bea83899f906d826869f3e58863,1,,
S_D,11,0,0,d41d8cd98f00b204e9800998ecf8427e,d41d8cd98f00b204e9800998ecf8427e,1,,
S_D,13,27,27,5008c53bf2a6d75171e4a45f337329f0,5008c53bf2a6d75171e4a45f337329f0,1,,
S_D,22,7,7,157b1bea83899f906d826869f3e58863,157b1bea83899f906d826869f3e58863,1,,
