db,K,policy_ids,baseline,query_id,status,error_type,error_msg,eval_ms,artifact_load_ms,policy_total_ms,ctid_map_ms,filter_ms,bytes_artifacts_loaded,bytes_allow,bytes_ctid,bytes_blk_index,rows_seen,rows_passed,ctid_misses,peak_rss_kb_end,policy_profile_lines,has_new_layer_fields,profile_line
tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,3,ok,,,1.537,74.364,666.661,3.267,36.460,34367305,95697,6124576,2015304,73135,1,0,135200,2,1,eval_ms=1.537 artifact_load_ms=74.364 artifact_parse_ms=34.803 stamp_ms=9.820 bin_ms=1.482 local_sat_ms=12.192 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=666.661 ctid_map_ms=3.267 filter_ms=36.460 child_exec_ms=17.958 ctid_extract_ms=6.225 ctid_to_rid_ms=1.723 allow_check_ms=1.603 projection_ms=0.000 n_scanned_tables=3 n_policy_targets=3 n_filters=3 bytes_artifacts_loaded=34367305 bytes_allow=95697 bytes_ctid=6124576 bytes_blk_index=2015304 rows_seen=73135 rows_passed=1 ctid_misses=0 rss_kb_before_eval=29580 rss_kb_after_eval=29580 rss_kb_after_load=81512 rss_kb_after_engine=112664 rss_kb_after_ctid=112664 rss_kb_end=108844 peak_rss_kb_end=135200
tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,4,ok,,,1.542,74.849,671.340,3.233,16.154,34367305,93822,6004576,1973030,5593,0,0,134260,2,1,eval_ms=1.542 artifact_load_ms=74.849 artifact_parse_ms=34.832 stamp_ms=9.933 bin_ms=1.498 local_sat_ms=12.315 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=671.340 ctid_map_ms=3.233 filter_ms=16.154 child_exec_ms=14.689 ctid_extract_ms=0.486 ctid_to_rid_ms=0.155 allow_check_ms=0.123 projection_ms=0.000 n_scanned_tables=2 n_policy_targets=3 n_filters=2 bytes_artifacts_loaded=34367305 bytes_allow=93822 bytes_ctid=6004576 bytes_blk_index=1973030 rows_seen=5593 rows_passed=0 ctid_misses=0 rss_kb_before_eval=28500 rss_kb_after_eval=28500 rss_kb_after_load=80184 rss_kb_after_engine=111292 rss_kb_after_ctid=111292 rss_kb_end=108540 peak_rss_kb_end=134260
tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,5,ok,,,1.546,74.454,672.569,3.331,21.517,34367305,95697,6124576,2015304,23969,1001,0,135236,2,1,eval_ms=1.546 artifact_load_ms=74.454 artifact_parse_ms=35.196 stamp_ms=9.841 bin_ms=1.482 local_sat_ms=12.158 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=672.569 ctid_map_ms=3.331 filter_ms=21.517 child_exec_ms=15.782 ctid_extract_ms=1.702 ctid_to_rid_ms=0.547 allow_check_ms=0.505 projection_ms=0.072 n_scanned_tables=6 n_policy_targets=3 n_filters=3 bytes_artifacts_loaded=34367305 bytes_allow=95697 bytes_ctid=6124576 bytes_blk_index=2015304 rows_seen=23969 rows_passed=1001 ctid_misses=0 rss_kb_before_eval=29044 rss_kb_after_eval=29044 rss_kb_after_load=81192 rss_kb_after_engine=112264 rss_kb_after_ctid=112264 rss_kb_end=109580 peak_rss_kb_end=135236
tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,7,ok,,,1.596,74.702,675.748,3.396,51.339,34367305,95697,6124576,2015304,151040,1003,0,135088,2,1,eval_ms=1.596 artifact_load_ms=74.702 artifact_parse_ms=34.840 stamp_ms=9.846 bin_ms=1.481 local_sat_ms=12.147 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=675.748 ctid_map_ms=3.396 filter_ms=51.339 child_exec_ms=15.218 ctid_extract_ms=10.931 ctid_to_rid_ms=3.494 allow_check_ms=3.277 projection_ms=0.074 n_scanned_tables=5 n_policy_targets=3 n_filters=3 bytes_artifacts_loaded=34367305 bytes_allow=95697 bytes_ctid=6124576 bytes_blk_index=2015304 rows_seen=151040 rows_passed=1003 ctid_misses=0 rss_kb_before_eval=29044 rss_kb_after_eval=29556 rss_kb_after_load=81008 rss_kb_after_engine=112048 rss_kb_after_ctid=112048 rss_kb_end=109444 peak_rss_kb_end=135088
tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,8,ok,,,1.809,72.901,670.506,3.723,30.438,34367305,95697,6124576,2015304,47367,1179,0,135764,2,1,eval_ms=1.809 artifact_load_ms=72.901 artifact_parse_ms=35.097 stamp_ms=9.778 bin_ms=1.482 local_sat_ms=12.127 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=670.506 ctid_map_ms=3.723 filter_ms=30.438 child_exec_ms=19.331 ctid_extract_ms=3.163 ctid_to_rid_ms=1.088 allow_check_ms=1.016 projection_ms=0.093 n_scanned_tables=7 n_policy_targets=3 n_filters=3 bytes_artifacts_loaded=34367305 bytes_allow=95697 bytes_ctid=6124576 bytes_blk_index=2015304 rows_seen=47367 rows_passed=1179 ctid_misses=0 rss_kb_before_eval=29556 rss_kb_after_eval=29556 rss_kb_after_load=81164 rss_kb_after_engine=112416 rss_kb_after_ctid=113440 rss_kb_end=116368 peak_rss_kb_end=135764
tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,9,ok,,,1.534,74.363,666.862,3.261,52.253,34367305,93822,6004576,1973030,151025,1025,0,135128,2,1,eval_ms=1.534 artifact_load_ms=74.363 artifact_parse_ms=34.541 stamp_ms=9.784 bin_ms=1.486 local_sat_ms=12.148 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=666.862 ctid_map_ms=3.261 filter_ms=52.253 child_exec_ms=16.200 ctid_extract_ms=10.880 ctid_to_rid_ms=3.476 allow_check_ms=3.276 projection_ms=0.075 n_scanned_tables=6 n_policy_targets=3 n_filters=2 bytes_artifacts_loaded=34367305 bytes_allow=93822 bytes_ctid=6004576 bytes_blk_index=1973030 rows_seen=151025 rows_passed=1025 ctid_misses=0 rss_kb_before_eval=29556 rss_kb_after_eval=29556 rss_kb_after_load=81076 rss_kb_after_engine=112104 rss_kb_after_ctid=112104 rss_kb_end=109428 peak_rss_kb_end=135128
tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,10,ok,,,1.487,74.145,676.927,3.446,8.052,34367305,95697,6124576,2015304,15025,25,0,135168,2,1,eval_ms=1.487 artifact_load_ms=74.145 artifact_parse_ms=35.060 stamp_ms=9.770 bin_ms=1.501 local_sat_ms=12.236 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=676.927 ctid_map_ms=3.446 filter_ms=8.052 child_exec_ms=2.142 ctid_extract_ms=3.392 ctid_to_rid_ms=0.345 allow_check_ms=0.329 projection_ms=0.005 n_scanned_tables=4 n_policy_targets=3 n_filters=3 bytes_artifacts_loaded=34367305 bytes_allow=95697 bytes_ctid=6124576 bytes_blk_index=2015304 rows_seen=15025 rows_passed=25 ctid_misses=0 rss_kb_before_eval=29556 rss_kb_after_eval=29556 rss_kb_after_load=81128 rss_kb_after_engine=112124 rss_kb_after_ctid=112124 rss_kb_end=91576 peak_rss_kb_end=135168
tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,12,ok,,,1.481,74.215,669.587,3.233,52.929,34367305,93822,6004576,1973030,150000,0,0,134288,2,1,eval_ms=1.481 artifact_load_ms=74.215 artifact_parse_ms=34.802 stamp_ms=9.900 bin_ms=1.483 local_sat_ms=12.134 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=669.587 ctid_map_ms=3.233 filter_ms=52.929 child_exec_ms=16.191 ctid_extract_ms=11.570 ctid_to_rid_ms=3.600 allow_check_ms=3.274 projection_ms=0.000 n_scanned_tables=2 n_policy_targets=3 n_filters=2 bytes_artifacts_loaded=34367305 bytes_allow=93822 bytes_ctid=6004576 bytes_blk_index=1973030 rows_seen=150000 rows_passed=0 ctid_misses=0 rss_kb_before_eval=27988 rss_kb_after_eval=27988 rss_kb_after_load=80200 rss_kb_after_engine=110848 rss_kb_after_ctid=110848 rss_kb_end=108088 peak_rss_kb_end=134288
tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,13,ok,,,0.993,9.526,146.441,0.772,4.823,5188987,20625,1320000,431116,15000,0,0,55932,2,1,eval_ms=0.993 artifact_load_ms=9.526 artifact_parse_ms=5.476 stamp_ms=4.145 bin_ms=0.142 local_sat_ms=8.783 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=146.441 ctid_map_ms=0.772 filter_ms=4.823 child_exec_ms=1.481 ctid_extract_ms=0.824 ctid_to_rid_ms=0.354 allow_check_ms=0.330 projection_ms=0.000 n_scanned_tables=2 n_policy_targets=2 n_filters=2 bytes_artifacts_loaded=5188987 bytes_allow=20625 bytes_ctid=1320000 bytes_blk_index=431116 rows_seen=15000 rows_passed=0 ctid_misses=0 rss_kb_before_eval=29012 rss_kb_after_eval=29524 rss_kb_after_load=38528 rss_kb_after_engine=53316 rss_kb_after_ctid=53316 rss_kb_end=51904 peak_rss_kb_end=55932
tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,15,ok,,,1.496,73.404,666.678,2.553,75.703,34367305,75072,4804576,1584188,24006,1000,0,174940,2,1,eval_ms=1.496 artifact_load_ms=73.404 artifact_parse_ms=34.694 stamp_ms=9.878 bin_ms=1.482 local_sat_ms=12.163 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=666.678 ctid_map_ms=2.553 filter_ms=75.703 child_exec_ms=68.608 ctid_extract_ms=2.864 ctid_to_rid_ms=0.630 allow_check_ms=0.506 projection_ms=0.144 n_scanned_tables=2 n_policy_targets=3 n_filters=1 bytes_artifacts_loaded=34367305 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=24006 rows_passed=1000 ctid_misses=0 rss_kb_before_eval=32300 rss_kb_after_eval=32300 rss_kb_after_load=83564 rss_kb_after_engine=114064 rss_kb_after_ctid=114064 rss_kb_end=174940 peak_rss_kb_end=174940
