row_type,db,K,policy_ids,baseline,query_id,setup_ms,disk_overhead_bytes,cold_ms,cold_peak_rss_kb,hot1_ms,hot1_peak_rss_kb,hot2_ms,hot2_peak_rss_kb,hot3_ms,hot3_peak_rss_kb,hot4_ms,hot4_peak_rss_kb,hot5_ms,hot5_peak_rss_kb,hot_avg_ms,hot_avg_peak_rss_kb,status,error_type,error_msg
setup,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,__setup__,6180.615,34367344,,,,,,,,,,,,,,,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,3,,,814.799,135280,723.691,182044,,,,,,,,,723.691,182044,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,4,,,784.218,134256,693.462,180548,,,,,,,,,693.462,180548,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,5,,,784.175,135180,693.422,181632,,,,,,,,,693.422,181632,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,7,,,814.665,135176,723.771,181080,,,,,,,,,723.771,181080,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,8,,,784.163,135264,693.364,186392,,,,,,,,,693.364,186392,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,9,,,814.250,135164,723.636,180540,,,,,,,,,723.636,180540,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,10,,,784.294,135168,693.498,163196,,,,,,,,,693.498,163196,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,12,,,814.477,134292,723.965,179644,,,,,,,,,723.965,179644,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,13,,,181.958,55944,121.329,60936,,,,,,,,,121.329,60936,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,15,,,844.347,157532,753.780,246620,,,,,,,,,753.780,246620,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,18,,,814.374,180244,693.466,215912,,,,,,,,,693.466,215912,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,21,,,146170.040,190644,146833.402,266420,,,,,,,,,146833.402,266420,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,22,,,182.004,54664,121.383,61492,,,,,,,,,121.383,61492,ok,,
setup,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,__setup__,3084.067,92323840,,,,,,,,,,,,,,,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,3,,,30.724,17056,30.561,24640,,,,,,,,,30.561,24640,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,4,,,1235.295,236528,1175.006,237664,,,,,,,,,1175.006,237664,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,5,,,30.706,20160,30.618,26128,,,,,,,,,30.618,26128,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,7,,,30.579,17056,30.482,25032,,,,,,,,,30.482,25032,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,8,,,30.568,17056,30.373,28308,,,,,,,,,30.373,28308,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,9,,,1596.684,239368,1536.407,242540,,,,,,,,,1536.407,242540,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,10,,,30.740,16600,30.362,24624,,,,,,,,,30.362,24624,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,12,,,1174.974,116276,1114.669,229524,,,,,,,,,1114.669,229524,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,13,,,30.654,16580,30.403,24100,,,,,,,,,30.403,24100,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,15,,,1355.750,118512,1295.340,210620,,,,,,,,,1295.340,210620,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,18,,,1807.618,117064,1747.189,122188,,,,,,,,,1747.189,122188,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,21,,,2350.170,231576,2289.776,249428,,,,,,,,,2289.776,249428,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,22,,,30.729,16580,30.669,24104,,,,,,,,,30.669,24104,ok,,
